"Calendar_Year","Month","CD_Rate","VWI_Rate","VI_Rate","Unemp_Rate"
2001,4,5,23,10,6
2001,5,5,27,23,6
2001,6,5,31,14,6
2001,7,4,33,11,6
2001,8,5,32,25,6
2001,9,6,32,18,6
2001,10,6,40,26,6
2001,11,5,38,22,6
2001,12,7,35,25,6
2002,1,9,42,36,6
2002,2,9,42,34,6
2002,3,7,34,32,6
2002,4,8,41,31,6
2002,5,6,40,25,6
2002,6,7,33,27,6
2002,7,8,44,30,6
2002,8,8,44,22,6
2002,9,9,42,32,6
2002,10,12,46,39,6
2002,11,9,45,41,6
2002,12,10,47,30,6
2003,1,10,47,39,6
2003,2,11,46,39,5
2003,3,10,42,33,5
2003,4,10,57,30,5
2003,5,13,60,31,5
2003,6,12,55,33,5
2003,7,11,56,36,6
2003,8,12,51,35,6
2003,9,11,55,45,6
2003,10,10,51,45,6
2003,11,12,59,43,6
2003,12,11,58,42,6
2004,1,13,64,50,5
2004,2,11,64,45,5
2004,3,7,57,38,5
2004,4,10,50,43,5
2004,5,9,40,31,5
2004,6,13,45,33,5
2004,7,10,48,33,5
2004,8,13,43,48,5
2004,9,11,47,32,5
2004,10,13,62,38,5
2004,11,11,58,44,5
2004,12,12,63,32,5
2005,1,17,59,50,5
2005,2,10,66,45,5
2005,3,10,55,40,5
2005,4,12,54,39,5
2005,5,8,50,42,5
2005,6,9,47,36,5
2005,7,9,43,32,5
2005,8,8,45,38,4
2005,9,7,44,38,4
2005,10,10,51,40,5
2005,11,9,57,48,5
2005,12,11,56,30,4
2006,1,16,55,50,4
2006,2,12,65,54,4
2006,3,9,49,50,5
2006,4,6,27,26,4
2006,5,9,26,23,4
2006,6,11,30,29,4
2006,7,7,30,25,4
2006,8,9,30,28,5
2006,9,9,27,30,5
2006,10,10,40,34,4
2006,11,8,34,33,4
2006,12,10,34,26,4
2007,1,11,47,42,4
2007,2,13,47,46,4
2007,3,13,49,37,4
2007,4,6,23,20,4
2007,5,6,28,27,4
2007,6,10,25,26,3
2007,7,10,26,24,4
2007,8,7,27,24,4
2007,9,9,32,30,4
2007,10,12,32,30,4
2007,11,6,26,26,4
2007,12,7,30,24,4
2008,1,8,23,27,4
2008,2,11,42,37,4
2008,3,7,36,28,4
2008,4,5,24,23,4
2008,5,8,26,22,4
2008,6,5,25,22,4
2008,7,10,26,26,4
2008,8,6,23,23,4
2008,9,10,34,35,4
2008,10,10,40,30,4
2008,11,10,44,33,5
2008,12,10,34,31,6
2009,1,13,40,33,6
2009,2,9,37,36,6
2009,3,7,36,20,6
2009,4,8,36,28,6
2009,5,10,37,20,6
2009,6,12,49,36,6
2009,7,11,40,34,7
2009,8,8,33,23,7
2009,9,14,35,28,6
2009,10,12,42,35,7
2009,11,12,38,34,6
2009,12,9,33,33,6
2010,1,13,49,39,6
2010,2,14,43,35,7
2010,3,12,42,44,7
2010,4,10,38,30,7
2010,5,8,36,30,7
2010,6,13,40,33,7
2010,7,11,38,39,7
2010,8,14,45,32,7
2010,9,14,51,38,8
2010,10,11,33,33,8
2010,11,14,64,52,8
2010,12,15,52,28,8
2011,1,13,49,34,7
2011,2,15,55,47,7
2011,3,10,42,38,7
2011,4,7,33,27,7
2011,5,10,43,36,7
2011,6,14,49,40,7
2011,7,11,45,23,8
2011,8,13,40,34,7
2011,9,18,49,28,7
2011,10,15,53,40,7
2011,11,11,45,39,7
2011,12,15,32,30,6
2012,1,16,38,43,7
2012,2,8,48,38,7
2012,3,12,40,29,7
2012,4,11,40,30,7
2012,5,20,37,40,8
2012,6,14,43,32,8
2012,7,14,41,27,8
2012,8,12,35,30,8
2012,9,15,38,27,8
2012,10,15,50,48,8
2012,11,10,44,41,8
2012,12,10,29,20,8
2013,1,10,32,36,8
2013,2,12,30,30,8
2013,3,12,40,29,8
2013,4,9,30,38,8
2013,5,12,26,23,7
2013,6,13,24,27,7
2013,7,9,29,28,7
2013,8,8,23,30,7
2013,9,10,27,24,8
2013,10,13,27,32,7
2013,11,16,28,27,7
2013,12,10,28,22,7
2014,1,12,32,41,8
2014,2,11,27,30,7
2014,3,9,26,32,7
2014,4,11,18,28,7
2014,5,16,23,22,6
2014,6,10,21,24,7
2014,7,8,18,24,6
2014,8,9,25,20,6
2014,9,10,21,29,6
2014,10,12,24,31,6
2014,11,17,29,32,6
2014,12,13,24,30,6
2015,1,15,33,34,6
2015,2,17,25,25,6
2015,3,12,26,30,6
2015,4,10,23,24,6
2015,5,12,24,22,6
2015,6,8,24,29,6
2015,7,12,29,30,6
2015,8,11,21,22,6
2015,9,10,26,33,6
2015,10,12,26,25,6
2015,11,15,27,31,6
2015,12,11,20,26,6
2016,1,14,26,33,6
2016,2,14,25,36,6
2016,3,11,32,31,6
2016,4,10,20,34,6
2016,5,14,24,30,6
2016,6,12,22,32,5
2016,7,9,22,20,5
2016,8,11,23,24,6
2016,9,13,30,29,6
2016,10,14,23,29,6
2016,11,12,36,38,5
2016,12,14,23,21,6
2017,1,12,24,34,5
2017,2,14,24,29,5
2017,3,12,26,30,5
2017,4,8,25,26,5
2017,5,15,23,29,5
2017,6,14,24,26,5
2017,7,10,22,19,5
2017,8,10,23,26,4
2017,9,10,24,22,4
2017,10,9,24,27,4
2017,11,14,29,27,4
2017,12,12,20,23,3
2018,1,16,30,33,3
2018,2,15,29,26,3
2018,3,12,24,27,3
2018,4,11,23,24,3
2018,5,14,19,28,4
2018,6,11,18,24,4
2018,7,10,19,26,4
2018,8,15,24,24,4
2018,9,12,22,20,4
2018,10,15,28,31,4
2018,11,16,27,29,4
2018,12,14,19,24,4
2019,1,14,26,29,3
2019,2,19,31,38,3
2019,3,15,27,32,3
2019,4,16,26,30,3
2019,5,16,22,36,3
2019,6,14,20,27,3
2019,7,13,22,19,3
2019,8,14,18,24,2
2019,9,13,18,28,2
2019,10,16,27,34,2
2019,11,16,24,27,2
2019,12,16,24,26,2
